ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	Subunits comment	SWISSPROT organism	subunits(Protein name)	Disease comment	PubMed ID	subunits(Gene name)	Complex comment
1	BCL6-HDAC4 complex	Human	None	None	P41182;P56524	604;9759	MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:0016564;GO:0006473;GO:0006476;GO:0051276;GO:0030183;GO:0005634	DNA topological change;obsolete transcription repressor activity;protein acetylation;protein deacetylation;chromosome organization;B cell differentiation;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;10.01.02;42.10.03;43.03.07.02.01.01;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;DNA topology;organization of chromosome structure;B-cell;nucleus	None	Homo sapiens;Homo sapiens	B-cell lymphoma 6 protein;Histone deacetylase 4	None	11929873	BCL6;HDAC4	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.
2	BCL6-HDAC5 complex	Human	None	None	P41182;Q9UQL6	604;10014	MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:0016564;GO:0006473;GO:0006476;GO:0051276;GO:0030183;GO:0005634	DNA topological change;obsolete transcription repressor activity;protein acetylation;protein deacetylation;chromosome organization;B cell differentiation;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;10.01.02;42.10.03;43.03.07.02.01.01;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;DNA topology;organization of chromosome structure;B-cell;nucleus	None	Homo sapiens;Homo sapiens	B-cell lymphoma 6 protein;Histone deacetylase 5	None	11929873	BCL6;HDAC5	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.
3	BCL6-HDAC7 complex	Human	None	None	P41182;Q8WUI4	604;51564	MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:0016564;GO:0006473;GO:0006476;GO:0051276;GO:0030183;GO:0005634	DNA topological change;obsolete transcription repressor activity;protein acetylation;protein deacetylation;chromosome organization;B cell differentiation;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;10.01.02;42.10.03;43.03.07.02.01.01;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;DNA topology;organization of chromosome structure;B-cell;nucleus	None	Homo sapiens;Homo sapiens	B-cell lymphoma 6 protein;Histone deacetylase 7	None	11929873	BCL6;HDAC7	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.
4	Multisubunit ACTR coactivator complex	Human	None	None	Q09472;Q92793;Q92831;Q9Y6Q9	2033;1387;8850;8202	MI:0004- affinity chromatography technologies; MI:0018- two hybrid	GO:0016563;GO:0023052;GO:0005634	obsolete transcription activator activity;signaling;nucleus	11.02.03.04.01;30.01.05;30.01.05.01.05;30.01.05.01.06;30.01.05.03;30.01.05.05.03;30.01.11;30.05.01.05;30.05.02;30.05.02.28;30.05.02.30;30.07;70.10	transcription activation;enzyme mediated signal transduction;tyrosine kinase;serine/threonine kinase;protease mediated signal transduction;trimeric G-protein mediated signal transduction;ligand-dependent nuclear receptors;interleukine receptor signalling pathway;non-enzymatic receptor mediated signalling;cadherin mediated signalling pathway;ion channel mediated signalling pathway;regulation of signal transduction;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	Histone acetyltransferase p300;CREB-binding protein;Histone acetyltransferase PCAF;Nuclear receptor coactivator 3	None	9267036	EP300;CREBBP;PCAF;NCOA3	Cofactor ACTR binds directly nuclear receptors and stimulates their transcriptional activities in a hormone-dependent fashion.
9	6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex	Mouse	None	None	P30561;P53762	11622;11863	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0023052;GO:0009593;GO:0042221;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;signaling;detection of chemical stimulus;response to chemical;nucleus	11.02.03.04;16.03.01;30.01.05;30.01.05.01.05;30.01.05.01.06;30.01.05.03;30.01.05.05.03;30.01.11;30.05.01.05;30.05.02;30.05.02.28;30.05.02.30;30.07;34.11.03;70.10	transcriptional control;DNA binding;enzyme mediated signal transduction;tyrosine kinase;serine/threonine kinase;protease mediated signal transduction;trimeric G-protein mediated signal transduction;ligand-dependent nuclear receptors;interleukine receptor signalling pathway;non-enzymatic receptor mediated signalling;cadherin mediated signalling pathway;ion channel mediated signalling pathway;regulation of signal transduction;chemoperception and response;nucleus	None	Mus musculus;Mus musculus	Aryl hydrocarbon receptor;Aryl hydrocarbon receptor nuclear translocator	None	1317062	Ahr;Arnt	Arnt contains a basic helix-loop-helix motif, which may be responsible for interacting with both the XRE (xenobiotic responsive element) and the ligand-binding subunit.
10	13S condensin complex	Human	None	None	O95347;Q15003;Q15021;Q9BPX3;Q9NTJ3	10592;23397;9918;64151;10051	MI:0004- affinity chromatography technologies; MI:0019- coimmunoprecipitation	GO:0000279;GO:0007067;GO:0030261;GO:0007059;GO:0051276;GO:0005694	M phase;mitotic nuclear division;chromosome condensation;chromosome segregation;chromosome organization;chromosome	10.03.01.01.11;10.03.04.03;10.03.04;10.03.04.05;10.01.02;42.10.03;70.10.03	M phase;chromosome condensation;nuclear and chromosomal cycle;chromosome segregation/division;DNA topology;organization of chromosome structure;chromosome	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	Structural maintenance of chromosomes protein 2;Condensin complex subunit 2;Condensin complex subunit 1;Condensin complex subunit 3;Structural maintenance of chromosomes protein 4	None	11136719	SMC2;NCAPH;NCAPD2;NCAPG;SMC4	None
11	BLOC-3 (biogenesis of lysosome-related organelles complex 3)	Human	None	None	Q92902;Q9NQG7	3257;89781	MI:0019- coimmunoprecipitation; MI:0029- cosedimentation through density gradients	GO:0007032;GO:0007040;GO:0007033	endosome organization;lysosome organization;vacuole organization	42.22;42.25	endosome;vacuole or lysosome	None	Homo sapiens;Homo sapiens	Hermansky-Pudlak syndrome 1 protein;Hermansky-Pudlak syndrome 4 protein	HPS1-7 are involved in Hermansky-Pudlak syndrome (HPS), which  comprises at least seven different autosomal recessive disorders (referred to as HPS-1 through -7) that share the clinical manifestations of oculocutaneous albinism combined with platelet storage pool deficiency and do not present with the severe immunodeficiency and giant intracellular granules characteristic of Chediak-Higashi syndrome (PMID:15030569).	12847290	HPS1;HPS4	The results suggest that HPS1 and HPS4 are components of a protein complex that regulates the intracellular localization of lysosomes and late endosomes and may function in a BLOC-1-dependent pathway for melanosome biogenesis.
12	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Human	None	None	Q86YV9;Q969F9;Q9UPZ3	79803;84343;11234	MI:0019- coimmunoprecipitation; MI:0029- cosedimentation through density gradients; MI:0071- molecular sieving	GO:0007032;GO:0007040;GO:0007033	endosome organization;lysosome organization;vacuole organization	42.22;42.25	endosome;vacuole or lysosome	None	Homo sapiens;Homo sapiens;Homo sapiens	Hermansky-Pudlak syndrome 6 protein;Hermansky-Pudlak syndrome 3 protein;Hermansky-Pudlak syndrome 5 protein	HPS1-7 are involved in Hermansky-Pudlak syndrome (HPS), which  comprises at least seven different autosomal recessive disorders (referred to as HPS-1 through -7) that share the clinical manifestations of oculocutaneous albinism combined with platelet storage pool deficiency and do not present with the severe immunodeficiency and giant intracellular granules characteristic of Chediak-Higashi syndrome.	15030569	HPS6;HPS3;HPS5	The results suggest that BLOC-2 is not critical for basal levels of secretion of lysosomal enzymes by fibroblasts.
13	MUS81-CDS1 complex	Human	None	None	Q92903;Q96NY9	1040;80198	MI:0004- affinity chromatography technologies	GO:0006281;GO:0006310	DNA repair;DNA recombination	10.01.05;10.01.05.01;10.01.05.03	DNA recombination and DNA repair;DNA repair;DNA recombination	None	Homo sapiens;Homo sapiens	Phosphatidate cytidylyltransferase 1;Crossover junction endonuclease MUS81	None	11741546	CDS1;MUS81	None
14	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Mouse	None	None	P59438;Q8BLY7;Q91VB4	246694;20170;12807	MI:0019- coimmunoprecipitation; MI:0029- cosedimentation through density gradients; MI:0071- molecular sieving	GO:0007032;GO:0007040;GO:0007033	endosome organization;lysosome organization;vacuole organization	42.22;42.25	endosome;vacuole or lysosome	None	Mus musculus;Mus musculus;Mus musculus	Hermansky-Pudlak syndrome 5 protein homolog;Hermansky-Pudlak syndrome 6 protein homolog;Hermansky-Pudlak syndrome 3 protein homolog	HPS1-7 are involved in Hermansky-Pudlak syndrome (HPS), which  comprises at least seven different autosomal recessive disorders (referred to as HPS-1 through -7) that share the clinical manifestations of oculocutaneous albinism combined with platelet storage pool deficiency and do not present with the severe immunodeficiency and giant intracellular granules characteristic of Chediak-Higashi syndrome (PMID:15030569).	14718540	Hps5;Hps6;Hps3	The results indicate that the Hps3, Hps5, and Hps6 proteins regulate vesicle trafficking to lysosome-related organelles at the physiological level as components of the BLOC-2 complex.
